Count,FAN,COMP.A,COMP.B,MAIN,FLW,ECRH,ORH,RERH,SURH,RUAVG,SUAVG,ECT,OT,IT,RET,SUT,DISP2,DISP1,SUCP2,SUCP1,CONT,EVAT,EXT2,EXT1,SUCT2,SUCT1,DIST2,DIST1,SUAVG.Humidity,RUAVG.Humidity
2191,0,0,0,40.000004,33.731205,86.875465,85.080322,83.785713,78.082664,21.596159,24.4055,20.869541,20.873169,24.100349,20.485428,23.536356,6.04853,8.057734,6.079902,8.093627,19.847586,21.902834,20.52434,21.348938,21.713346,21.707098,21.180269,21.092812,0.015081485,0.013620144
2192,1698.000122,4529,2989.999878,10335,3099.866211,75.797951,76.973122,78.727699,82.128845,25.229836,16.171553,24.213165,22.31579,23.801565,23.329985,15.735039,16.489393,16.633482,5.369309,5.305646,42.270313,12.049297,28.691309,30.097754,20.18284,18.710638,71.197021,80.858849,0.00944922,0.015996339
2193,1681,4717,3155,10671,2681.674072,70.641479,67.861809,76.540825,88.191139,25.346415,15.243468,24.972498,27.503059,23.845495,23.451471,13.874054,17.25404,17.358038,5.458744,5.297525,44.654957,11.941017,30.686636,32.635418,14.333603,15.88285,76.441307,80.490868,0.009562757,0.015651805
2194,1687.000122,4509,2997.999878,10312,2711.48291,75.517433,82.1679,74.430672,88.905701,24.929052,14.907674,23.803801,24.961685,23.720596,23.033325,13.52785,16.51874,16.592371,5.419756,5.221811,42.240776,11.851479,28.741899,30.514626,16.965654,17.434179,75.882088,79.27404,0.009432126,0.01482732
2195,1689.000122,4612,1959.000855,9378.000977,2791.300781,68.786201,67.392746,72.570732,89.308258,25.287071,17.810101,24.966688,27.411524,24.396072,23.662516,16.450487,11.494156,16.8342,1.314703,5.421268,39.131481,12.118014,29.264002,28.422163,25.898661,18.410786,141.395798,80.565552,0.011436389,0.014767141
2196,1668,5516,3771,12073,2792.297852,58.547119,53.292191,67.413094,87.131531,29.273325,18.022383,29.660835,24.895035,27.052214,26.904394,16.65037,20.348978,20.366129,5.934897,5.756263,53.225037,14.406483,38.294262,40.33857,16.363865,17.113499,85.341789,88.75,0.011305455,0.017400385
2197,1686.000122,4826,2093.999878,9724,2805.94043,61.599369,56.741695,67.670036,88.446693,26.130045,17.924215,26.371393,29.862341,25.100744,24.533899,16.624037,12.367946,17.923079,1.430067,5.497508,40.870243,12.438691,32.18819,30.889002,27.10071,17.336308,146.668137,82.203178,0.011407244,0.014469204
2198,1682.000122,4693,3132.000855,10625.00098,2696.967041,70.487518,67.169502,76.790764,87.813652,25.341751,15.243468,24.89666,27.340796,23.846212,23.429346,13.882449,17.130264,17.252211,5.44189,5.280022,43.961819,11.868136,30.666397,32.509956,15.293552,16.249338,76.570351,80.447144,0.009521199,0.015699739
2199,1718.000122,3953.000244,0,6428,2780.136475,75.428459,89.278694,69.918777,90.164764,24.064531,16.401123,21.953409,20.266579,23.096115,22.44615,15.08094,6.380434,14.042813,6.4189,4.950044,30.055258,10.024011,21.857023,14.685515,23.243849,19.168749,22.887772,73.751831,0.01054504,0.013191997
2200,1679,5163,2260,10220,2861.001221,55.351673,46.326412,60.453381,86.613503,28.535543,19.389082,28.822817,34.752506,26.47682,26.990976,18.103348,13.384084,19.430763,1.585669,5.723353,45.084232,14.129536,36.027073,34.106621,30.223215,19.410299,155.206909,87.041328,0.012260254,0.014892711
2201,1681,4715,3154.000977,10668.00098,2684.312256,70.740128,67.5252,76.552773,88.080627,25.330093,15.222481,24.889761,27.543325,23.848742,23.444937,13.845215,17.32966,17.438017,5.46146,5.297258,44.383213,11.905617,30.980064,32.815525,13.983772,15.793309,76.467491,80.505455,0.009537514,0.015638736
2202,1684.000122,4854.000488,3260.99939,10917,2689.73999,68.948051,66.6008,75.077492,88.188347,25.642534,15.367054,25.36487,21.820112,24.073547,23.67087,13.995114,17.831873,17.932409,5.492079,5.334906,45.79707,12.120097,32.410793,34.276608,12.848908,14.987451,77.103386,81.163048,0.009639877,0.015624398
2203,1691.000122,4867,3276.000855,10952.00098,2766.888428,65.02774,59.612183,65.998734,87.570221,27.307001,16.333317,26.734068,27.660492,26.451544,25.494776,15.00307,18.034569,18.063951,5.659317,5.46296,46.860409,13.431958,32.845882,34.786572,18.079699,18.452433,80.773216,83.736969,0.010191742,0.015140201
2204,1685.000122,4970,3349.999878,11123,2767.845947,63.634541,57.326511,65.563011,87.371773,27.749125,16.64411,27.423204,23.385332,26.407034,25.936453,15.416894,18.376665,18.404039,5.709689,5.521887,47.839081,13.912974,33.97913,35.848991,18.435774,18.716887,81.877113,84.727905,0.010374876,0.015441697
2205,1714.000122,4091.000244,0,6563,2833.048828,82.944298,95.057945,74.849831,90.185913,24.709877,18.041718,22.496008,16.218325,23.807631,22.798599,16.595007,7.663181,14.560402,7.694163,5.138937,31.459677,11.659904,22.933584,18.67524,25.024439,20.530586,25.174189,76.291679,0.011723747,0.014714311
2206,1679.000122,5216,2282.999878,10296,2879.537109,54.119644,44.654972,59.52496,85.963356,29.064142,19.822252,29.421112,35.788082,26.628027,27.471834,18.519455,13.365735,19.438448,1.597742,5.758364,45.552887,14.762559,36.571438,34.64896,30.963881,20.320272,156.517593,88.117897,0.012505088,0.015125698
2207,1678,5335.000488,3631.000489,11762.00098,2784.542236,57.027149,46.322109,64.101295,86.219086,29.72315,17.810101,29.687737,25.866272,27.234467,27.886536,16.557503,19.965908,19.987741,5.890947,5.701891,52.275711,15.03951,37.808208,39.663151,18.604441,18.523232,85.334503,88.682594,0.011033786,0.016968784
2208,1715.000122,4119,0,6591,2808.489502,83.966789,95.146576,75.325569,90.41275,24.618942,18.065039,22.427797,15.673901,23.457399,22.697462,16.649733,7.689555,14.711807,7.73409,5.168571,31.710608,12.018063,23.273001,18.858484,25.487856,20.720079,25.710457,76.383324,0.011771373,0.014727855
2209,1681.000122,4722,3153.999878,10675,2705.943359,70.699051,67.903229,76.949707,87.968422,25.318438,15.243468,24.896742,27.287024,23.844612,23.424585,13.914912,17.21526,17.3276,5.441494,5.285049,44.265064,11.92644,30.925425,32.785172,15.137379,16.118151,76.650772,80.527298,0.009538237,0.015710701
2210,1693.000122,4484,2976.999878,10272,2726.439697,75.656578,80.835587,75.009102,88.593597,24.863768,14.907674,23.815237,25.376532,23.683783,22.994339,13.583713,16.289911,16.432642,5.396268,5.217314,42.004475,11.730702,28.308836,30.071447,17.290497,17.473742,75.468758,79.077316,0.009398514,0.014885806
2211,1679.000122,5211,2292.999878,10301,2838.104248,55.844433,48.573654,64.59494,87.548592,28.307333,19.347162,28.751532,33.42157,26.244848,26.343195,17.942535,13.32252,19.327208,1.580668,5.719885,45.332348,13.921303,36.097904,34.04591,29.397562,18.248365,154.333206,87.474884,0.012362302,0.015723815
2212,0,0,0,40.000004,33.713585,86.65554,85.21209,82.684822,78.19239,21.940798,24.56386,21.140692,21.172071,24.2432,20.840918,23.692259,6.136638,8.118452,6.164279,8.157987,20.018337,22.288065,20.780466,21.690439,22.154795,22.065254,21.51969,21.386421,0.0152506,0.013729708
2213,1687.000122,4583,3059.999878,10448,2724.342773,72.491989,75.352974,71.990013,88.294395,25.516626,15.243468,24.572577,26.086601,24.864502,23.655167,13.909215,16.722013,16.768446,5.465084,5.268507,43.329716,12.207555,29.47851,31.340279,16.926092,17.577856,76.798531,80.193954,0.009574126,0.014852267
2214,0,0,0,30.000002,35.271488,88.013573,89.540108,79.52095,83.369514,25.647196,21.845009,23.458122,23.912542,23.88909,23.957968,19.704475,7.860796,7.878381,7.938043,7.971495,26.212324,22.504625,20.339014,20.74715,27.910177,25.423098,27.440687,29.79825,0.013763388,0.016578479
2215,1714.000122,4087,0,6555,2762.553711,75.792458,87.183929,71.919792,90.415741,24.288084,16.920465,22.50992,21.391161,23.186296,22.690628,15.594788,6.353464,14.644416,6.388148,5.081298,31.840124,10.645557,23.375036,15.141543,24.696604,18.979258,24.506378,75.556664,0.010936174,0.013765227
2216,1690.000122,4629,3084.000855,10521.00098,2687.50415,74.699821,74.710419,78.151062,88.344673,25.082939,15.243468,24.269434,23.446945,23.711035,23.146811,13.86443,16.865324,16.998329,5.45051,5.285968,43.636902,12.086781,29.778013,31.629662,15.972389,16.888609,76.237442,80.102867,0.009579662,0.01573437
2217,1716.000122,4078.000244,0,6550,2829.118164,82.957596,95.010384,74.850845,90.207603,24.735527,18.041718,22.49119,16.080446,23.829727,22.801073,16.585245,7.654414,14.569913,7.691071,5.134157,31.390869,11.659904,22.825302,18.66691,24.921228,20.551413,25.099312,76.231834,0.01172662,0.014737624
2218,1704.000122,4400.000488,0,6858.000488,2801.542236,72.643471,75.48185,73.999062,90.123596,24.735182,17.810101,23.838371,24.192053,23.448997,23.126455,16.431887,6.359532,15.985375,6.413981,5.307958,35.379505,11.514141,26.847754,15.830791,27.859583,18.506571,27.641027,78.249626,0.011542735,0.014565679
2219,1679,5447,3714.000977,11958.00098,2778.515625,56.709965,46.257168,64.302742,86.357025,29.653292,17.921886,29.807755,25.788164,27.236834,27.881372,16.654509,20.183243,20.170649,5.909139,5.729004,53.075138,15.110309,38.631313,40.547306,17.627834,17.736113,85.722511,89.158043,0.011131247,0.016953381
2220,1689.000122,4620,1976.000855,9403.000977,2794.905518,69.390587,67.962982,72.534782,89.445007,25.070509,17.698315,24.780006,26.757166,24.106974,23.534033,16.374746,11.566093,16.878878,1.295146,5.414528,38.696297,11.976417,29.413755,28.519297,25.771166,18.285849,139.668381,80.598335,0.011372309,0.014566078
2221,1693.000122,4576,1946.999878,9334,2783.0354,65.832626,67.596123,65.963356,89.380333,25.030922,17.251165,24.93334,27.088373,24.25437,23.474966,15.926341,11.47795,16.814074,1.293972,5.355291,39.03302,12.059709,29.664688,28.545603,25.949251,18.050545,142.306198,80.314186,0.011041747,0.01318657
